formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId
1	C14H22O3	[M + H]+	C14H23O3+	Fatty acids	0.908	Octadecanoids	0.605	Jasmonic acids	0.599	Lipids and lipid-like molecules	0.528	Fatty Acyls	0.529					Fatty Acyls	0.529	Organic compounds; Lipids and lipid-like molecules; Ketones; Organic acids and derivatives; Organooxygen compounds; Carbonyl compounds; Cyclic ketones; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	239.163	181	3.02	690678396878037364	690677223643082456	15833
1	C24H28N2O7	[M + H]+	C24H29N2O7+	Amino acids and Peptides	0.651	Phenylpropanoids (C6-C3)	0.536	Polyamines	0.121	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	0.999	Amino acids, peptides, and analogues	0.784	Amino acids and derivatives	0.775	N-acyl-alpha amino acids and derivatives	0.766	Organic compounds; Amino acids, peptides, and analogues; Styrenes; Alpha amino acids and derivatives; Alkyl aryl ethers; Phenols; Anisoles; Methoxyphenols; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Cinnamic acids and derivatives; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Hydroxycinnamic acids and derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Cinnamic acid amides; Organic oxides; Methoxybenzenes; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Phenoxy compounds; Chemical entities	457.197	181	3.02	690678395028349210	690677259458246192	15961
1	C21H31N3O5	[M + H]+	C21H32N3O5+	Amino acids and Peptides	0.990	Small peptides	0.689	Tripeptides	0.323	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	0.999	Amino acids, peptides, and analogues	0.993	Peptides	0.960	Oligopeptides	0.641	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Phenylpropanoids and polyketides; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acid amides; N-acyl-alpha amino acids; Benzenoids; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Dipeptides; Oligopeptides; Chemical entities	406.235	182	3.03	690678399965045184	690677252868994148	15916
1	C8H19O2P	[M + H]+	C8H20O2P+	Fatty acids	0.661	Fatty acyls	0.116	Hydrocarbons	0.005	Organophosphorus compounds	0.994							Organophosphorus compounds	0.994	Organic compounds; Organophosphorus compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Chemical entities	179.120	182	3.03	690678424380089189	690677218265984513	15912
1	C22H36N2O7S	[M + H]+	C22H37N2O7S+	Fatty acids	0.974	Eicosanoids	0.912	Leukotrienes	0.789	Lipids and lipid-like molecules	0.935	Fatty Acyls	0.930	Eicosanoids	0.466	Leukotrienes	0.584	Leukotrienes	0.584	Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Hydroxyeicosatetraenoic acids; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Hydroxy fatty acids; Dicarboxylic acids and derivatives; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Leukotrienes; Carboxylic acid derivatives; N-acyl-alpha amino acids and derivatives; Thioethers; Carboxylic acids; Thia fatty acids; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; N-acyl-alpha amino acids; Alpha amino acids; Amines; Primary amines; Long-chain fatty acids; Sulfenyl compounds; Dialkylthioethers; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Cysteine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	473.231	182	3.03	690678431070004637	690677260884309657	15894
1	C18H36O6	[M + H]+	C18H37O6+	Fatty acids	1.000	Octadecanoids	0.921	Other Octadecanoids	0.920	Lipids and lipid-like molecules	0.999	Fatty Acyls	0.998	Fatty acids and conjugates	0.987	Long-chain fatty acids	0.943	Long-chain fatty acids	0.943	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Unsaturated fatty acids; Hydroxy fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Carbonyl compounds; Polyols; Long-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	349.259	184	3.07	690678430449247579	690677240382550630	16188
1	C25H34O9	[M + H]+	C25H35O9+	Terpenoids	1.000	Steroids	0.997	Androstane steroids	0.957	Lipids and lipid-like molecules	0.997	Steroids and steroid derivatives	0.989	Steroidal glycosides	0.981	Steroid glucuronide conjugates	0.992	Steroid glucuronide conjugates	0.992	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Pyrans; Ketones; Alcohols and polyols; Sugar acids and derivatives; Ethers; Steroids and steroid derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Glucuronides; Hydroxy acids and derivatives; Steroidal glycosides; Monocarboxylic acids and derivatives; Oxosteroids; Carboxylic acids; Steroid glucuronide conjugates; Androgens and derivatives; Hexoses; Monosaccharides; Acetals; Secondary alcohols; Beta hydroxy acids and derivatives; Carbonyl compounds; Oxanes; Glucuronic acid derivatives; Glycosyl compounds; O-glycosyl compounds; Polyols; O-glucuronides; 3-oxo delta-4-steroids; Delta-4-steroids; 3-oxosteroids; Cyclic ketones; Androstane steroids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Cyclohexenones; Organic oxygen compounds; Chemical entities	479.229	184	3.07	690678431615264214	690677261509260998	16184
1	C17H22N2O4	[M + H]+	C17H23N2O4+	Alkaloids	0.853	Pseudoalkaloids (transamidation)	0.059	Dipeptides	0.043	Benzenoids	0.556							Benzenoids	0.556	Organic compounds; Organoheterocyclic compounds; Lactams; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid derivatives; Carboxylic acids; Carbonyl compounds; Benzenoids; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	319.166	184	3.07	690678425403499621	690677236670591325	16233
1	C20H38O7	[M + H]+	C20H39O7+	Fatty acids	0.977	Eicosanoids	0.408	Dicarboxylic acids	0.359	Lipids and lipid-like molecules	0.987	Fatty Acyls	0.974	Fatty acids and conjugates	0.964	Long-chain fatty acids	0.906	Long-chain fatty acids	0.906	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Branched fatty acids; Unsaturated fatty acids; Hydroxy fatty acids; Hydroxy acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Carbonyl compounds; Polyols; Long-chain fatty acids; Methyl-branched fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	391.267	185	3.08	690678431619458536	690677245671568334	16324
1	C25H30N2O5	[M + H]+	C25H31N2O5+	Alkaloids	0.923	Ornithine alkaloids	0.979	Polyamines	0.992	Phenylpropanoids and polyketides	0.985	Cinnamic acids and derivatives	0.992	Hydroxycinnamic acids and derivatives	0.969	Coumaric acids and derivatives	0.700	Coumaric acids and derivatives	0.700	Organic compounds; Styrenes; Coumaric acids and derivatives; Phenols; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Cinnamic acids and derivatives; Carboxylic acid derivatives; Hydroxycinnamic acids and derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Cinnamic acid amides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities	439.223	185	3.08	690678428867994846	690677257608557993	16237
1	C19H18N2O3	[M + H]+	C19H19N2O3+	Amino acids and Peptides	0.845	Phenylpropanoids (C6-C3)	0.642	Cinnamic acid amides	0.593	Phenylpropanoids and polyketides	0.883	Cinnamic acids and derivatives	0.918	Hydroxycinnamic acids and derivatives	0.824	Coumaric acids and derivatives	0.502	Coumaric acids and derivatives	0.502	Organic compounds; Organoheterocyclic compounds; Styrenes; Coumaric acids and derivatives; Phenols; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Cinnamic acids and derivatives; Carboxylic acid derivatives; Hydroxycinnamic acids and derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Cinnamic acid amides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities	323.139	186	3.10	690678429765575966	690677236989358454	16386
1	C25H36N4O7	[M + H]+	C25H37N4O7+	Amino acids and Peptides	1.000	Small peptides	0.900	Tripeptides	0.829	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	1.000	Amino acids, peptides, and analogues	0.999	Peptides	0.997	Oligopeptides	0.983	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Phenethylamines; Amphetamines and derivatives; Pyrrolidines; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Pyrrolidine carboxylic acids and derivatives; Pyrrolidinecarboxamides; Benzene and substituted derivatives; Alpha amino acid amides; N-acyl-alpha amino acids; Pyrrolidine carboxylic acids; Benzenoids; Amines; Primary amines; Phenylpropanoic acids; N-acylpyrrolidines; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Amino acids; Phenylalanine and derivatives; Proline and derivatives; Isoleucine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities	505.266	186	3.10	690678448929351895	690677262775940906	16419
1	C20H30O5	[M + H]+	C20H31O5+	Terpenoids	0.981	Diterpenoids	0.880	Labdane diterpenoids	0.304	Lipids and lipid-like molecules	0.850	Prenol lipids	0.596	Diterpenoids	0.728			Diterpenoids	0.728	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Cyclic alcohols and derivatives; Diterpenoids; Secondary alcohols; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	351.217	186	3.10	690678457288600398	690677240592265845	16313
1	C16H32N6O4	[M + H]+	C16H33N6O4+	Amino acids and Peptides	0.399	Small peptides	0.304	Aminoacids	0.081	Organic acids and derivatives	0.966	Carboxylic acids and derivatives	0.964	Amino acids, peptides, and analogues	0.595	Amino acids and derivatives	0.587	Amino acids and derivatives	0.587	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Branched fatty acids; Hydroxy fatty acids; Amino acids and derivatives; Monoalkylamines; Amino fatty acids; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Carbonyl compounds; Amines; Primary amines; Medium-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	373.259	187	3.11	690678453765384725	690677243607970621	16453
1	C20H29N2O4	[M + H]+	C20H30N2O4+	Amino acids and Peptides	0.234	Linear polyketides	0.343	Open-chain polyketides	0.232	Lipids and lipid-like molecules	0.554							Lipids and lipid-like molecules	0.554	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Carbonyl compounds; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	362.218	188	3.13	690678454230952528	690677242186101470	16578
1	C31H46N2O10	[M + H]+	C31H47N2O10+	Amino acids and Peptides	0.869	Macrolides	0.782	Antimycins	0.474	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	0.997	Amino acids, peptides, and analogues	0.847	Amino acids and derivatives	0.839	Alpha amino acid esters	0.573	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Lactones; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Amino acids and derivatives; Alpha amino acid esters; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acid esters; Secondary carboxylic acid amides; Carbonyl compounds; Benzenoids; Fatty Acyls; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	607.321	188	3.14	690678453631166962	690677266181715974	16651
1	C22H24N2O4	[M + H]+	C22H25N2O4+	Alkaloids	0.579	Ornithine alkaloids	0.667	Cinnamic acid amides	0.834	Phenylpropanoids and polyketides	0.987	Cinnamic acids and derivatives	0.995	Hydroxycinnamic acids and derivatives	0.963	Coumaric acids and derivatives	0.788	Coumaric acids and derivatives	0.788	Organic compounds; Styrenes; Coumaric acids and derivatives; Phenols; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Cinnamic acids and derivatives; Carboxylic acid derivatives; Hydroxycinnamic acids and derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Cinnamic acid amides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities	381.181	189	3.15	690678449298450761	690677244782375821	16743
1	C18H40NO	[M + K]+	C18H40KNO+	Fatty acids	0.979	Fatty amides	0.738	Primary amides	0.465	Lipids and lipid-like molecules	0.729	Fatty Acyls	0.677	Fatty amides	0.525			Fatty amides	0.525	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	325.274	189	3.15	690678457271823166	690677237610115486	16763
1	C17H24N2O4	[M + H]+	C17H25N2O4+	Amino acids and Peptides	0.668	Linear polyketides	0.043	Salinosporamides	0.034	Organoheterocyclic compounds	0.955	Pyrrolidines	0.808	Pyrrolidones	0.818	Pyrrolidine-2-ones	0.715	Pyrrolidine-2-ones	0.715	Organic compounds; Organoheterocyclic compounds; Lactams; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Pyrrolidones; Carboxylic acids; Carbonyl compounds; Pyrrolidine-2-ones; Dicarboximides; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	321.182	190	3.16	690678456932084493	690677236800614759	16814
1	C20H31N5O2	[M + H]+	C20H32N5O2+	Alkaloids	0.354	Pseudoalkaloids (transamidation)	0.062	Open-chain polyketides	0.031	Organoheterocyclic compounds	0.975	Azoles	0.913	Tetrazoles	0.887			Tetrazoles	0.887	Organic compounds; Organoheterocyclic compounds; Tetrazoles; Organonitrogen compounds; Organooxygen compounds; Azoles; Amines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	374.255	190	3.17	690678529577430894	690677243909960529	16823
1	C21H31N3O3	[M + H]+	C21H32N3O3+	Alkaloids	0.475	Histidine alkaloids	0.387	Imidazole alkaloids	0.387	Lipids and lipid-like molecules	0.669							Lipids and lipid-like molecules	0.669	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Secondary alcohols; Carbonyl compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	374.243	191	3.19	690678533507493859	690677243821880140	17011
1	C23H26N2O5	[M + H]+	C23H27N2O5+	Alkaloids	0.730	Ornithine alkaloids	0.928	Polyamines	0.954	Phenylpropanoids and polyketides	0.994	Cinnamic acids and derivatives	0.996	Hydroxycinnamic acids and derivatives	0.967			Hydroxycinnamic acids and derivatives	0.967	Organic compounds; Styrenes; Alkyl aryl ethers; Phenols; Anisoles; Methoxyphenols; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Cinnamic acids and derivatives; Carboxylic acid derivatives; Hydroxycinnamic acids and derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Cinnamic acid amides; Organic oxides; Methoxybenzenes; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Phenoxy compounds; Chemical entities	411.192	191	3.19	690678514557627975	690677254169228478	16990
1	C20H30N4O2S	[M + Na]+	C20H30N4NaO2S+	Alkaloids	0.536	Pseudoalkaloids (transamidation)	0.276	Imidazole alkaloids	0.186	Lipids and lipid-like molecules	0.714	Prenol lipids	0.586					Prenol lipids	0.586	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Prenol lipids; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Monocarboxylic acids and derivatives; Carbonyl compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	413.198	191	3.19	690678529447407459	690677254366360781	16978
1	C29H38N4O5	[M + H]+	C29H39N4O5+	Amino acids and Peptides	1.000	Small peptides	0.870	Tripeptides	0.459	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	1.000	Amino acids, peptides, and analogues	1.000	Peptides	0.995	Oligopeptides	0.967	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Phenethylamines; Amphetamines and derivatives; Pyrrolidines; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Pyrrolidine carboxylic acids and derivatives; Pyrrolidinecarboxamides; Benzene and substituted derivatives; Alpha amino acid amides; N-acyl-alpha amino acids; Benzenoids; Amines; Phenylpropanoic acids; N-acylpyrrolidines; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Amino acids; Phenylalanine and derivatives; Proline and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities	523.292	191	3.19	690678539819922042	690677263509944161	16932
1	C16H33NO6	[M + H]+	C16H34NO6+	Fatty acids	0.904	Fatty Acids and Conjugates	0.326	Sphingoid bases	0.181	Organic acids and derivatives	0.994	Carboxylic acids and derivatives	0.988	Amino acids, peptides, and analogues	0.549	Amino acids and derivatives	0.548	Amino acids	0.524	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Branched fatty acids; Hydroxy fatty acids; Dicarboxylic acids and derivatives; Amino acids and derivatives; Monoalkylamines; Amino fatty acids; Carboxylic acid derivatives; Carboxylic acids; Secondary alcohols; Carbonyl compounds; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	336.239	192	3.20	690678542814655940	690677238998430205	17083
1	C25H49NO7	[M + H]+	C25H50NO7+	Fatty acids	0.948	Spingolipids	0.872	Sphingoid bases	0.684	Organic acids and derivatives	0.703	Carboxylic acids and derivatives	0.744	Amino acids, peptides, and analogues	0.723	Amino acids and derivatives	0.725	Amino acids	0.681	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Ethers; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Hydroxy fatty acids; Amino acids and derivatives; Monoalkylamines; Amino fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Monosaccharides; Acetals; Secondary alcohols; Carbonyl compounds; Glycosyl compounds; O-glycosyl compounds; Polyols; Amines; Primary amines; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	476.359	192	3.20	690678539815727734	690677261316322999	17207
1	C26H35N3O6	[M + H]+	C26H36N3O6+	Alkaloids	0.925	Ornithine alkaloids	0.995	Polyamines	0.997	Phenylpropanoids and polyketides	0.976	Cinnamic acids and derivatives	0.985	Hydroxycinnamic acids and derivatives	0.957			Hydroxycinnamic acids and derivatives	0.957	Organic compounds; Styrenes; Alkyl aryl ethers; Phenols; Anisoles; Methoxyphenols; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Cinnamic acids and derivatives; Carboxylic acid derivatives; Hydroxycinnamic acids and derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Cinnamic acid amides; Organic oxides; Methoxybenzenes; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Phenoxy compounds; Chemical entities	486.260	193	3.21	690678539824116358	690677262029354734	17108
1	C22H38N2O7S	[M + H]+	C22H39N2O7S+	Fatty acids	0.992	Eicosanoids	0.585	Leukotrienes	0.407	Organic acids and derivatives	0.997	Carboxylic acids and derivatives	0.994	Amino acids, peptides, and analogues	0.978	Amino acids and derivatives	0.978	N-acyl-alpha amino acids	0.568	Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Hydroxy fatty acids; Dicarboxylic acids and derivatives; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl-alpha amino acids and derivatives; Thioethers; Carboxylic acids; Thia fatty acids; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; N-acyl-alpha amino acids; Alpha amino acids; Amines; Primary amines; Sulfenyl compounds; Dialkylthioethers; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Cysteine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	475.248	193	3.22	690678541992571977	690677261106607784	17297
1	C24H28N2O6	[M + H]+	C24H29N2O6+	Alkaloids	0.922	Ornithine alkaloids	0.986	Polyamines	0.992	Phenylpropanoids and polyketides	0.989	Cinnamic acids and derivatives	0.993	Hydroxycinnamic acids and derivatives	0.963			Hydroxycinnamic acids and derivatives	0.963	Organic compounds; Styrenes; Alkyl aryl ethers; Phenols; Anisoles; Methoxyphenols; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Cinnamic acids and derivatives; Carboxylic acid derivatives; Hydroxycinnamic acids and derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Cinnamic acid amides; Organic oxides; Methoxybenzenes; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Phenoxy compounds; Chemical entities	441.203	193	3.22	690678540272907040	690677257801495992	17273
